"trip_id","arrival_time","departure_time","stop_id","stop_sequence","stop_headsign","pickup_type","drop_off_type","shape_dist_traveled"
"3468.3.17-120-2-cm1-1.108.I","11:02:00","11:02:00","8260B1039201","1","","0","0","0.0"
"3468.3.17-120-2-cm1-1.108.I","11:11:00","11:11:00","8260B1030001","2","","0","0","5157.07"
"3468.3.17-120-2-cm1-1.108.I","11:17:00","11:17:00","8260B1026501","3","","0","0","9689.16"
"3468.3.17-120-2-cm1-1.108.I","11:20:00","11:20:00","8260B1026701","4","","0","0","11056.54"
"3468.3.17-120-2-cm1-1.108.I","11:26:00","11:26:00","8260B1027701","5","","0","0","14039.47"
"3468.3.17-120-2-cm1-1.108.I","11:35:00","11:35:00","8260B1047501","6","","0","0","19547.02"
"3468.3.17-120-2-cm1-1.108.I","11:36:00","11:36:00","8260B1047601","7","","0","0","19989.08"
"3468.3.17-120-2-cm1-1.108.I","11:37:00","11:37:00","8260B1026601","8","","0","0","20626.17"
"3468.3.17-120-2-cm1-1.108.I","11:40:00","11:40:00","8260B1043601","9","","0","0","22228.25"
"3468.3.17-120-2-cm1-1.108.I","11:43:00","11:43:00","8260B1047701","10","","0","0","23305.47"
"3468.3.17-120-2-cm1-1.108.I","11:46:00","11:46:00","8260B1047801","11","","0","0","24630.22"
"3468.3.17-120-2-cm1-1.108.I","11:46:00","11:46:00","8260B1047901","12","","0","0","25200.24"
"3468.3.17-120-2-cm1-1.108.I","11:48:00","11:48:00","8260B1043801","13","","0","0","26734.38"
"3468.3.17-120-2-cm1-1.108.I","11:49:00","11:49:00","8260B102101","14","","0","0","27670.82"
"3468.3.17-120-2-cm1-1.108.I","11:51:00","11:51:00","8260B1045501","15","","0","0","28751.4"
"3468.3.17-120-2-cm1-1.108.I","11:51:00","11:51:00","8260B1025901","16","","0","0","29455.97"
"3468.3.17-120-2-cm1-1.108.I","11:53:00","11:53:00","8260B1046601","17","","0","0","30399.76"
"3468.3.17-120-2-cm1-1.108.I","11:54:00","11:54:00","8260B1048001","18","","0","0","31208.0"
"3468.3.17-120-2-cm1-1.108.I","11:54:00","11:54:00","8260B102091","19","","0","0","31749.92"
"3468.3.17-120-2-cm1-1.108.I","11:57:00","11:57:00","8260B1045801","20","","0","0","32672.48"
"3468.3.17-120-2-cm1-1.108.I","12:03:00","12:03:00","8260B1048101","21","","0","0","36137.56"
"3468.3.17-120-2-cm1-1.108.I","12:04:00","12:04:00","8260DB007083","22","","0","0","36804.24"
"3468.3.17-120-2-cm1-1.108.I","12:06:00","12:06:00","8260DB007084","23","","0","0","37797.9"
"3468.3.17-120-2-cm1-1.108.I","12:16:00","12:16:00","8230DB007193","24","","1","0","44523.58"
"3468.3.17-120-2-cm1-1.108.I","12:20:00","12:20:00","8230DB002239","25","","1","0","49408.43"
"3468.3.17-120-2-cm1-1.108.I","12:31:00","12:31:00","8220DB004413","26","","1","0","56595.37"
"3468.3.17-120-2-cm1-1.108.I","12:41:00","12:41:00","8220DB000316","27","","1","0","58869.5"
"3468.3.17-120-2-cm1-1.108.I","12:44:00","12:44:00","8220DB002499","28","","1","0","59784.81"
"3468.3.17-120-2-cm1-1.108.I","12:50:00","12:50:00","8220DB005140","29","","1","0","60212.77"
"3432.3.17-120-2-cm1-1.110.O","10:00:00","10:00:00","8220B1351201","1","","0","1","0.0"
"3432.3.17-120-2-cm1-1.110.O","10:02:00","10:02:00","8220B1351401","2","","0","1","437.77"
"3432.3.17-120-2-cm1-1.110.O","10:07:00","10:07:00","8220B1351001","3","","0","1","1164.93"
"3432.3.17-120-2-cm1-1.110.O","10:15:00","10:15:00","8220B1354001","4","","0","1","3244.03"
"3432.3.17-120-2-cm1-1.110.O","10:25:00","10:25:00","8230DB002213","5","","0","1","10367.42"
"3432.3.17-120-2-cm1-1.110.O","10:30:00","10:30:00","8230DB007186","6","","0","1","15764.6"
"3432.3.17-120-2-cm1-1.110.O","10:40:00","10:40:00","8260DB007085","7","","0","0","21533.59"
"3432.3.17-120-2-cm1-1.110.O","10:41:00","10:41:00","8260DB007086","8","","0","0","22543.89"
"3432.3.17-120-2-cm1-1.110.O","10:42:00","10:42:00","8260B1340401","9","","0","0","23220.84"
"3432.3.17-120-2-cm1-1.110.O","10:47:00","10:47:00","8260B1338501","10","","0","0","26679.41"
"3432.3.17-120-2-cm1-1.110.O","10:48:00","10:48:00","8260B1338401","11","","0","0","27520.91"
"3432.3.17-120-2-cm1-1.110.O","10:50:00","10:50:00","8260B1337901","12","","0","0","28095.59"
"3432.3.17-120-2-cm1-1.110.O","10:51:00","10:51:00","8260B1025701","13","","0","0","29005.2"
"3432.3.17-120-2-cm1-1.110.O","10:53:00","10:53:00","8260B1025801","14","","0","0","29837.35"
"3432.3.17-120-2-cm1-1.110.O","10:53:00","10:53:00","8260B1335601","15","","0","0","30553.99"
"3432.3.17-120-2-cm1-1.110.O","10:54:00","10:54:00","8260B1026001","16","","0","0","31330.6"
"3432.3.17-120-2-cm1-1.110.O","10:56:00","10:56:00","8260B1334301","17","","0","0","32547.38"
"3432.3.17-120-2-cm1-1.110.O","10:58:00","10:58:00","8260B1026101","18","","0","0","34145.74"
"3432.3.17-120-2-cm1-1.110.O","10:59:00","10:59:00","8260B1332101","19","","0","0","34704.62"
"3432.3.17-120-2-cm1-1.110.O","10:59:00","10:59:00","8260B1026301","20","","0","0","35156.65"
"3432.3.17-120-2-cm1-1.110.O","11:01:00","11:01:00","8260B1026401","21","","0","0","35985.81"
"3432.3.17-120-2-cm1-1.110.O","11:03:00","11:03:00","8260B1331301","22","","0","0","37076.96"
"3432.3.17-120-2-cm1-1.110.O","11:06:00","11:06:00","8260B1025301","23","","0","0","38619.08"
"3432.3.17-120-2-cm1-1.110.O","11:08:00","11:08:00","8260B1330101","24","","0","0","39370.17"
"3432.3.17-120-2-cm1-1.110.O","11:08:00","11:08:00","8260B105211","25","","0","0","39795.26"
"3432.3.17-120-2-cm1-1.110.O","11:18:00","11:18:00","8260B1524101","26","","0","0","45247.0"
"3432.3.17-120-2-cm1-1.110.O","11:24:00","11:24:00","8260B1524001","27","","0","0","48227.72"
"3432.3.17-120-2-cm1-1.110.O","11:26:00","11:26:00","8260B5584101","28","","0","0","49928.31"
"3432.3.17-120-2-cm1-1.110.O","11:33:00","11:33:00","8260B1025401","29","","0","0","54126.99"
"3432.3.17-120-2-cm1-1.110.O","11:42:00","11:42:00","8260B1041101","30","","0","0","59257.71"
"3370.3.17-120-cm1-1.16.I","11:25:00","11:25:00","8320B1359601","1","","0","0","0.0"
"3370.3.17-120-cm1-1.16.I","11:30:00","11:30:00","8320B1046701","2","","0","0","836.97"
"3370.3.17-120-cm1-1.16.I","11:32:00","11:32:00","8320B1046801","3","","0","0","1332.86"
"3370.3.17-120-cm1-1.16.I","11:32:00","11:32:00","8320B1046901","4","","0","0","2173.12"
"3370.3.17-120-cm1-1.16.I","11:34:00","11:34:00","8260B1031901","5","","0","0","4359.16"
"3370.3.17-120-cm1-1.16.I","11:37:00","11:37:00","8260GD10267","6","","0","0","7195.1"
"3370.3.17-120-cm1-1.16.I","11:39:00","11:39:00","8260B1032001","7","","0","0","8303.17"
"3370.3.17-120-cm1-1.16.I","11:40:00","11:40:00","8260B1047001","8","","0","0","8951.32"
"3370.3.17-120-cm1-1.16.I","11:41:00","11:41:00","8260B1032101","9","","0","0","9349.5"
"3370.3.17-120-cm1-1.16.I","11:41:00","11:41:00","8260B1047101","10","","0","0","9821.77"
"3370.3.17-120-cm1-1.16.I","11:42:00","11:42:00","8260B1047201","11","","0","0","10311.81"
"3370.3.17-120-cm1-1.16.I","11:42:00","11:42:00","8260B1047301","12","","0","0","11049.46"
"3370.3.17-120-cm1-1.16.I","11:44:00","11:44:00","8260B1032301","13","","0","0","12603.67"
"3370.3.17-120-cm1-1.16.I","11:45:00","11:45:00","8260B1032501","14","","0","0","13953.14"
"3370.3.17-120-cm1-1.16.I","11:48:00","11:48:00","8260B1047401","15","","0","0","16314.59"
"3370.3.17-120-cm1-1.16.I","11:49:00","11:49:00","8260B1043101","16","","0","0","17552.23"
"3370.3.17-120-cm1-1.16.I","11:51:00","11:51:00","8260B1027101","17","","0","0","18752.27"
"3370.3.17-120-cm1-1.16.I","11:56:00","11:56:00","8260B1027001","18","","0","0","22000.09"
"3370.3.17-120-cm1-1.16.I","11:58:00","11:58:00","8260B1026901","19","","0","0","23751.33"
"3370.3.17-120-cm1-1.16.I","12:00:00","12:00:00","8260B1026801","20","","0","0","25468.75"
"3370.3.17-120-cm1-1.16.I","12:02:00","12:02:00","8260B1047501","21","","0","0","26568.08"
"3370.3.17-120-cm1-1.16.I","12:06:00","12:06:00","8260B1047601","22","","0","0","27010.14"
"3370.3.17-120-cm1-1.16.I","12:07:00","12:07:00","8260B1026601","23","","0","0","27647.23"
