"route_id","service_id","trip_id","shape_id","trip_headsign","direction_id"
"10-101-e19-1","3#3","1381339.3.10-101-e19-1.261.I","10-101-e19-1.261.I","Drogheda Bus Station - Dublin (Talbot Street)","1"
"10-101-e19-1","3#3","1381350.3.10-101-e19-1.261.I","10-101-e19-1.261.I","Drogheda Bus Station - Dublin (Talbot Street)","1"
"10-101-e19-1","3#3","1381360.3.10-101-e19-1.261.I","10-101-e19-1.261.I","Drogheda Bus Station - Dublin (Talbot Street)","1"
"10-101-e19-1","3#3","1381370.3.10-101-e19-1.264.O","10-101-e19-1.264.O","Busáras - Drogheda Bus Station","0"
"10-101-e19-1","3#3","1381371.3.10-101-e19-1.261.I","10-101-e19-1.261.I","Drogheda Bus Station - Dublin (Talbot Street)","1"
"10-101-e19-1","3#3","1381803.3.10-101-e19-1.264.O","10-101-e19-1.264.O","Busáras - Drogheda Bus Station","0"
"10-101-e19-1","3#3","1381813.3.10-101-e19-1.264.O","10-101-e19-1.264.O","Busáras - Drogheda Bus Station","0"
"10-101-e19-1","3#3","1381823.3.10-101-e19-1.264.O","10-101-e19-1.264.O","Busáras - Drogheda Bus Station","0"
"10-101-e19-1","3#3","1381832.3.10-101-e19-1.261.I","10-101-e19-1.261.I","Drogheda Bus Station - Dublin (Talbot Street)","1"
"10-101-e19-1","3#3","1381833.3.10-101-e19-1.264.O","10-101-e19-1.264.O","Busáras - Drogheda Bus Station","0"
"10-103-e19-1","3#3","1381394.3.10-103-e19-1.275.I","10-103-e19-1.275.I","Ratoath (SuperValu) - Dublin (Beresford Place)","1"
"10-103-e19-1","3#3","1382797.3.10-103-e19-1.274.O","10-103-e19-1.274.O","Dublin (Beresford Place) - Tayto Park","0"
"10-103-e19-1","3#3","1382812.3.10-103-e19-1.275.I","10-103-e19-1.275.I","Ratoath (SuperValu) - Dublin (Beresford Place)","1"
"10-103-e19-1","3#3","1382821.3.10-103-e19-1.274.O","10-103-e19-1.274.O","Dublin (Beresford Place) - Tayto Park","0"
