Name,Address1,Address2,Address3,Address4,Phone,Email,Website,LAT,LONG
Balbriggan Health Centre,Hampton Street,Balbriggan,Co. Dublin,,+353 1 8834906,,,53.6070816624765,-6.17914789030531
Oldtown Health Centre,Clonmethan,Oldtown,Co. Dublin,,+353 1 8433234,,,53.518343736284,-6.31786497026097
Lusk Health Centre,Main Street,Lusk,Co. Dublin,,+353 1 8040016,,,53.5266512075073,-6.16588701726975
Rush Health Centre,41 Lower Main Street,Rush,Co. Dublin,,+353 1 8437463,,,53.5216163327515,-6.08802172653303
Donabate Health Centre,St. Patrick's Terrace,Donabate,Co. Dublin,,+353 1 8436079,,,53.4856288305022,-6.14738738879614
Swords Health Centre,Bridge Street,Swords,Co. Dublin,,+353 1 8902200,,,53.4598336950064,-6.22173807230161
Portmarnock Health Centre,Strand Centre,Strand Road,Portmarnock,Co. Dublin,+353 1 8460311,,,53.4208793436817,-6.13887167368603
Skerries Health Centre,Thomas Hand Street,Skerries,Co. Dublin,,+353 1 8494862,,,53.579133730272,-6.11055545882508
Malahide Health Centre,New Street,Malahide,Co. Dublin,,+353 1 8452076,,,53.4510016583577,-6.15386783556286
Baldoyle Health Centre,Willie Nolan Road,Baldoyle,Dublin 13,,+353 1 8324066,,,53.3987842003782,-6.12897324350122
Howth Health Centre,Main Street,Howth,Co. Dublin,,+353 1 8322984,,,53.3860117570648,-6.0650573975448
Corduff Health Centre,Curduff Green,Blanchardstown,Dublin 15,,+353 1 8211131,,,53.3975843112064,-6.37636466093761
Roselawn Health Centre,Roselawn Road,Castleknock,Dublin 15,,+353 1 8212666,,,53.3842732608505,-6.38230912071703
Hartstown Health Centre,Cherryfield Lawns,Hartstown,Dublin 15,,,,,53.3923895984864,-6.42108451513161
Mountview Health Centre,Shelerin Road,Clonsilla,Dublin 15,,+353 1 8210703,,,53.3893005729816,-6.40851387351025
Damastown Health Centre,Damastown Industrial Estate,Mulhuddart,Dublin 15,,+353 1 8694600,,,53.410357896662,-6.40894143574284
Ashbourne Health Centre,Frederick Street,Ashbourne,Co. Meath,,+353 1 8350535,,,53.5139172873289,-6.40266041768123
Dunboyne Health Centre,Dunboyne,Co. Meath,,,,,,53.416269478796,-6.47232190726006
Leixlip Health Centre,Main Street,Leixlip,Co. Kildare,,+353 1 6244931,,,53.3636654612126,-6.48992446656295
Lucan Health Centre,1A Sarsfield Park,Lucan,Co. Dublin,,+353 1 6281395,,,53.3568187934291,-6.44820116573448
Wellmount Health Centre,Wellmount Park,Finglas,Dublin 11,,+353 1 8346119,,,53.3853626110425,-6.31136194942285
Ballygall Health Centre,Seamus Ennis Road,Finglas,Dublin 11,,+353 1 8342003,,,53.3901927947785,-6.29634840344212
Ballymun Health Centre,Ballymun Health Care Facility,Civic Offices,Ballymun Road,Dublin 11,+353 1 8467000,,,53.3955275266125,-6.2635216607018
Darndale Health Centre,Darndale Primary Care Centre,Darndale/Belcamp Village Centre,Darndale,Dublin 17,+353 1 8771550,,,53.4013520275723,-6.19395559162637
Kilbarrack Health Centre,Foxfield Crescent,Kilbarrack,Dublin 5,,+353 1 8399500,,,53.3849029970605,-6.15523944359825
Larkhill Health Centre,Collins Avenue Extension,Dublin 9,,,+353 1 8373796,,,53.384766032412,-6.25031257604399
