Name,Address1,Address2,Address3,Phone,Website,Division,Divisional_HQ,Divisional_HQ_Phone,District,District_HQ,District_HQ_Phone,Opening_Hours,LAT,LONG
Balbriggan Garda Station,Drogheda Road,Balbriggan,Co. Dublin,+353 1 8020510,http://www.garda.ie/Stations/Default.aspx,Dublin Metropolitan Region Northern Division,Ballymun,+353 1 6664493,Balbriggan,Balbriggan,+353 1 8020510,Open 24hrs ,53.6143781459678,-6.19105291877873
Skerries Garda Station,Strand Street,Skerries,Co. Dublin,+353 1 8491211,http://www.garda.ie/Stations/Default.aspx,Dublin Metropolitan Region Northern Division,Ballymun,+353 1 6664493,Balbriggan,Balbriggan,+353 1 8020510,Closes at 9pm,53.5795903768001,-6.1069616104728
Lusk Garda Station,Dublin Road,Lusk,Co. Dublin,+353 1 8437222,http://www.garda.ie/Stations/Default.aspx,Dublin Metropolitan Region Northern Division,Ballymun,+353 1 6664493,Balbriggan,Balbriggan,+353 1 8020510,Closes at 9pm ,53.5234353877583,-6.16733534648569
Malahide Garda Station,1-2 St. James Terrace,Malahide,Co. Dublin,+353 1 6664600,http://www.garda.ie/Stations/Default.aspx,Dublin Metropolitan Region Northern Division,Ballymun,+353 1 6664493,Coolock,Coolock,+353 1 6664282,Closes at 9pm ,53.451109266817,-6.15189702223919
Swords Garda Station,Main Street,Swords,Co. Dublin,+353 1 6664700,http://www.garda.ie/Stations/Default.aspx,Dublin Metropolitan Region Northern Division,Ballymun,+353 1 6664493,Coolock,Coolock,+353 1 6664282,Open 24hrs ,53.4560671353432,-6.22116473435358
Dublin Airport Garda Station,Dublin Airport,Cloghran,Co. Dublin,+353 1 6664950,http://www.garda.ie/Stations/Default.aspx,Dublin Metropolitan Region Northern Division,Ballymun,+353 1 6664493,Ballymun,Ballymun,+353 1 6664483,Closes at 9pm ,53.4297783724185,-6.24504100410432
Howth Garda Station,Dunbo Hill,Howth,Co. Dublin,+353 1 6664900,http://www.garda.ie/Stations/Default.aspx,Dublin Metropolitan Region Northern Division,Ballymun,+353 1 6664493,Raheny,Raheny,+353 1 6664382,Closes at 9pm,53.3873550645323,-6.06897754903133
Garristown Garda Station,Garristown,Co. Dublin,,+353 1 8354112,http://www.garda.ie/Stations/Default.aspx,Dublin Metropolitan Region Northern Division,Ballymun,+353 1 6664493,Balbriggan,Balbriggan,+353 1 8020510,Closes at 9pm ,53.5670517146016,-6.38386916128394
Blanchardstown Garda Station,Main Street,Blanchardstown,Dublin 15,+353 1 6667000,http://www.garda.ie/Stations/Default.aspx,Dublin Metropolitan Region Western Division,Blanchardstown,+353 1 6667000,Blanchardstown,Blanchardstown,+353 1 6667082,Open 24hrs ,53.3897839588485,-6.3807707452975
Ashbourne Garda Station,Ashbourne,Co. Meath,,+353 1 8010600,http://www.garda.ie/Stations/Default.aspx,Meath Division,Navan,+353 46 9036300,Ashbourne,Ashbourne,+353 1 8010600,Open 24hrs ,53.5113816620039,-6.39698030788465
Dunboyne Garda Station,Dunboyne,Co. Meath,,+353 1 8252211,http://www.garda.ie/Stations/Default.aspx,Meath Division,Navan,+353 46 9036300,Ashbourne,Ashbourne,+353 1 8010600,Closes at 9pm ,53.4209513717728,-6.47696339790661
Leixlip Garda Station,Leixlip,Co. Kildare,,+353 1 6667800,http://www.garda.ie/Stations/Default.aspx,Kildare Division,Naas,+353 45 884311,Leixlip,Leixlip,+353 1 6667800,Open 24hrs,53.3674665276442,-6.49833624071316
Lucan Garda Station,Main Street,Lucan,Co. Dublin,+353 1 6667300,http://www.garda.ie/Stations/Default.aspx,Dublin Metropolitan Region Western Division,Blanchardstown,+353 1 6667000,Lucan,Lucan,+353 1 6667382,Open 24hrs ,53.356085055692,-6.45065946401336
Finglas Garda Station,Mellowes Road,Finglas,Dublin 11,+353 1 6667500,http://www.garda.ie/Stations/Default.aspx,Dublin Metropolitan Region Western Division,Blanchardstown,+353 1 6667000,Blanchardstown,Blanchardstown,+353 1 6667082,Open 24hrs,53.3896714248585,-6.3068211015613
Ballymun Garda Station,Main Street,Ballymun,Dublin 9,+353 1 6664400,http://www.garda.ie/Stations/Default.aspx,Dublin Metropolitan Region Northern Division,Ballymun,+353 1 6664493,Ballymun,Ballymun,+353 1 6664483,Open 24hrs ,53.394578079053,-6.26377177866851
Santry Garda Station,35-37 Shanowen Road,Santry,Dublin 9,+353 1 6664000,http://www.garda.ie/Stations/Default.aspx,Dublin Metropolitan Region Northern Division,Ballymun,+353 1 6664493,Ballymun,Ballymun,+353 1 6664483,Closes at 9pm,53.3896967123395,-6.2505768748415
Coolock Garda Station,Oscar Traynor Road,Coolock,Dublin 5,+353 1 6664200,http://www.garda.ie/Stations/Default.aspx,Dublin Metropolitan Region Northern Division,Ballymun,+353 1 6664493,Coolock,Coolock,+353 1 6664282,Open 24hrs ,53.3903303367227,-6.20125561214133
Raheny Garda Station,All Saints Road,Raheny,Dublin 5,+353 1 6664300,http://www.garda.ie/Stations/Default.aspx,Dublin Metropolitan Region Northern Division,Ballymun,+353 1 6664493,Raheny,Raheny,+353 1 6664382,Open 24hrs ,53.3789578350523,-6.17814301895245
