year,population
1960,2832000
1961,2818000
1962,2830000
1963,2850000
1964,2864000
1965,2876000
1966,2884000
1967,2900000
1968,2913000
1969,2926000
1970,2950000
1971,2978000
1972,3024000
1973,3073000
1974,3124000
1975,3177000
1976,3228000
1977,3272000
1978,3314000
1979,3368000
1980,3401000
1981,3443000
1982,3480000
1983,3504000
1984,3529000
1985,3540000
1986,3541000
1987,3547000
1988,3531000
1989,3510000
1990,3506000
1991,3526000
1992,3555000
1993,3574000
1994,3586000
1995,3601000
1996,3626000
1997,3664000
1998,3703000
1999,3742000
2000,3790000
2001,3847000
2002,3917000
2003,3980000
2004,4045000
2005,4134000
2006,4233000
2007,4339000
2008,4422000
2009,4459000
2010,4470000
2011,4575000
2012,4594000
2013,4615000
2014,4645000
2015,4688000
2016,4740000
2017,4792000
2018,4857000
2019,4921500
